"","mean","sd","dataset","algo"
"1",0.67455109063046,0.0114749926548178,"dataset1","KNN"
"2",0.716363395491392,0.0117181663003051,"dataset1","NB"
"3",0.694862113660451,0.0161640380491726,"dataset1","DT"
"4",0.811341339405918,0.0121957629795867,"dataset1","RF"
"5",0.816656730686603,0.0113154547537511,"dataset1","SVM"
"6",0.71099331156369,0.0311334035022857,"dataset1","MLP"
"7",0.662920086076022,0.00990450567870002,"dataset2","KNN"
"8",0.724368572942626,0.0127015809740063,"dataset2","NB"
"9",0.696050134628054,0.0162046816513328,"dataset2","DT"
"10",0.822845055999542,0.0103802854050637,"dataset2","RF"
"11",0.814577604479963,0.0115125235155435,"dataset2","SVM"
"12",0.728118465526625,0.0352307612300022,"dataset2","MLP"
"13",0.749989347913265,0.0107970580092959,"dataset3","KNN"
"14",0.71614587809,0.0126105282502058,"dataset3","NB"
"15",0.687214362951505,0.0165997867818672,"dataset3","DT"
"16",0.757992466557818,0.00948700404376068,"dataset3","RF"
"17",0.763253612758156,0.0113493528313688,"dataset3","SVM"
"18",0.763519646386526,0.0102097580960021,"dataset3","MLP"
"19",0.830791423190398,0.0207968003660839,"raw image","CNN"
"20",0.834382966686718,0.0189620754825215,"raw image","VGG16"
