acc,bac,f1s,seed
0.8366164542294322,0.836652487754576,0.8413948256467941,0
0.8342989571263036,0.8342732233393486,0.8380520951302378,1
0.847045191193511,0.8471201770215692,0.8562091503267975,2
0.8528389339513326,0.8528508206582452,0.8541905855338691,3
0.8342989571263036,0.8342678525393143,0.8295589988081048,4
0.8366164542294322,0.8365423863538712,0.8465723612622416,5
0.8250289687137891,0.8251052676806737,0.8356909684439607,6
0.8146002317497103,0.8145972974134228,0.8152424942263279,7
0.831981460023175,0.8319557231245166,0.8357870894677236,8
0.7670915411355735,0.7672966615106986,0.8019704433497538,9
0.8482039397450754,0.8482050786285125,0.8482039397450755,10
0.8389339513325609,0.8389216507690986,0.8407789232531501,11
0.8563151796060255,0.8563203574804503,0.8558139534883722,12
0.8354577056778679,0.8355299905473919,0.8449781659388648,13
0.8505214368482039,0.8505682306436366,0.8443908323281062,14
0.8528389339513326,0.8528776746584171,0.8574635241301909,15
0.831981460023175,0.8319557231245166,0.8357870894677236,16
0.8435689455388181,0.8435271117985735,0.8491620111731845,17
0.8563151796060255,0.8563310990805191,0.8581235697940504,18
0.8435689455388181,0.843505628598436,0.8518111964873765,19
0.8424101969872537,0.8423589627910973,0.8492239467849224,20
0.8458864426419467,0.8458150726132165,0.8549618320610687,21
0.813441483198146,0.8134801710062731,0.8071856287425149,22
0.8482039397450754,0.8481567414282032,0.8542825361512792,23
0.8018539976825029,0.8017718269313396,0.7865168539325842,24
0.8192352259559675,0.8193423992437914,0.8343949044585988,25
0.8122827346465817,0.8124113817994328,0.7890624999999999,26
0.8400926998841252,0.8400146085760936,0.8503253796095445,27
0.8482039397450754,0.8481298874280313,0.8574537540805223,28
0.8215527230590962,0.8216035060582625,0.8135593220338984,29
