knn,nb,dt,rf,svc,mpl
0.7149478563151797,0.7520278099652375,0.6894553881807648,0.828505214368482,0.831981460023175,0.6709154113557358
0.6790266512166859,0.7219003476245655,0.6894553881807648,0.8018539976825029,0.8122827346465817,0.5249130938586327
0.6848203939745076,0.7207415990730012,0.7172653534183082,0.8122827346465817,0.8157589803012746,0.48899188876013905
0.7056778679026651,0.7323290845886443,0.7114716106604867,0.8273464658169177,0.831981460023175,0.7404403244495944
0.6720741599073001,0.7184241019698725,0.6882966396292005,0.8111239860950173,0.8250289687137891,0.4855156431054461
0.6998841251448435,0.7358053302433372,0.6871378910776361,0.8250289687137891,0.8180764774044033,0.5098493626882966
0.6859791425260718,0.727694090382387,0.7369640787949016,0.8157589803012746,0.8180764774044033,0.5121668597914253
0.6813441483198146,0.7103128621089224,0.6952491309385863,0.8215527230590962,0.8296639629200464,0.709154113557358
0.6790266512166859,0.7161066048667439,0.694090382387022,0.8064889918887601,0.828505214368482,0.4831981460023175
0.6964078794901506,0.7161066048667439,0.6801853997682503,0.7995365005793743,0.8261877172653534,0.6315179606025493
0.6987253765932793,0.7242178447276941,0.7010428736964078,0.8215527230590962,0.8261877172653534,0.5921205098493627
0.641946697566628,0.6790266512166859,0.7022016222479722,0.7983777520278099,0.8018539976825029,0.4947856315179606
0.6674391657010429,0.7265353418308227,0.6882966396292005,0.8099652375434531,0.8296639629200464,0.6048667439165701
0.6743916570104287,0.7172653534183082,0.6790266512166859,0.8157589803012746,0.8099652375434531,0.6373117033603708
0.6906141367323291,0.7323290845886443,0.6964078794901506,0.8192352259559675,0.8192352259559675,0.49710312862108924
0.6929316338354577,0.7265353418308227,0.6952491309385863,0.8308227114716107,0.8377752027809965,0.5191193511008111
0.6743916570104287,0.7103128621089224,0.6906141367323291,0.7937427578215527,0.8157589803012746,0.6685979142526072
0.6952491309385863,0.7242178447276941,0.6813441483198146,0.8227114716106605,0.8366164542294322,0.5005793742757821
0.6697566628041715,0.7392815758980301,0.697566628041715,0.813441483198146,0.813441483198146,0.5005793742757821
0.6767091541135574,0.7485515643105446,0.7022016222479722,0.8146002317497103,0.8122827346465817,0.5735805330243338
0.6836616454229433,0.7219003476245655,0.6998841251448435,0.8296639629200464,0.8296639629200464,0.5828505214368482
0.6871378910776361,0.7219003476245655,0.7045191193511008,0.8157589803012746,0.8308227114716107,0.4982618771726535
0.6836616454229433,0.7219003476245655,0.7149478563151797,0.8261877172653534,0.8192352259559675,0.49710312862108924
0.6813441483198146,0.7219003476245655,0.6848203939745076,0.816917728852839,0.8250289687137891,0.4901506373117034
0.6801853997682503,0.7334878331402086,0.7172653534183082,0.8296639629200464,0.8366164542294322,0.4831981460023175
0.7149478563151797,0.7427578215527231,0.6964078794901506,0.828505214368482,0.8389339513325609,0.6848203939745076
0.6628041714947857,0.7010428736964078,0.7161066048667439,0.8018539976825029,0.813441483198146,0.657010428736964
0.6894553881807648,0.7531865585168018,0.6917728852838934,0.8435689455388181,0.8389339513325609,0.5086906141367323
0.6801853997682503,0.7172653534183082,0.697566628041715,0.8122827346465817,0.8215527230590962,0.48667439165701043
0.697566628041715,0.709154113557358,0.7219003476245655,0.8076477404403245,0.8076477404403245,0.5272305909617613
